obs_id,job_type,release_time,release_time_label,fatigue_state,fatigue_description,weather,weather_description,sunny_indicator,freeway_distance_miles,coastal_distance_miles,freeway_base_minutes,coastal_base_minutes,freeway_time_minutes,coastal_time_minutes,delta_time_coastal_minus_freeway
0,data_science,17:45,5:45 PM,overwhelmed,You feel overwhelmed and want the drive home to require as little attention and decision-making as possible.,sunny,"It is sunny with clear evening light. The coastal route is likely to have better views, especially through Del Mar, Solana Beach, and Cardiff.",1,14.0,16.0,29.0,40.0,26.54,42.49,15.95
1,data_science,17:45,5:45 PM,overwhelmed,You feel overwhelmed and want the drive home to require as little attention and decision-making as possible.,cloudy,"It is cloudy with muted evening light. The coastal route still goes through Del Mar, Solana Beach, and Cardiff, but the scenery is less salient.",0,14.0,16.0,29.0,40.0,33.74,47.77,14.03
2,data_science,17:45,5:45 PM,overwhelmed,You feel overwhelmed and want the drive home to require as little attention and decision-making as possible.,cloudy,"It is cloudy with muted evening light. The coastal route still goes through Del Mar, Solana Beach, and Cardiff, but the scenery is less salient.",0,14.0,16.0,29.0,40.0,50.77,34.02,-16.75
3,data_science,17:15,5:15 PM,mentally_worn_down,"You feel mentally worn down after meetings and would prefer a route that feels less stressful, all else equal.",cloudy,"It is cloudy with muted evening light. The coastal route still goes through Del Mar, Solana Beach, and Cardiff, but the scenery is less salient.",0,14.0,16.0,31.0,42.0,30.4,42.03,11.63
4,data_science,17:30,5:30 PM,refreshed,You feel alert and have enough energy to handle either freeway driving or local coastal driving.,cloudy,"It is cloudy with muted evening light. The coastal route still goes through Del Mar, Solana Beach, and Cardiff, but the scenery is less salient.",0,14.0,16.0,31.0,41.0,22.44,44.03,21.59
5,data_science,17:00,5:00 PM,refreshed,You feel alert and have enough energy to handle either freeway driving or local coastal driving.,sunny,"It is sunny with clear evening light. The coastal route is likely to have better views, especially through Del Mar, Solana Beach, and Cardiff.",1,14.0,16.0,31.0,42.0,37.62,45.01,7.39
6,data_science,17:15,5:15 PM,tired,"You feel tired from the workday, but you are still patient enough to make a normal route choice.",sunny,"It is sunny with clear evening light. The coastal route is likely to have better views, especially through Del Mar, Solana Beach, and Cardiff.",1,14.0,16.0,31.0,42.0,32.63,26.84,-5.79
7,data_science,17:00,5:00 PM,refreshed,You feel alert and have enough energy to handle either freeway driving or local coastal driving.,cloudy,"It is cloudy with muted evening light. The coastal route still goes through Del Mar, Solana Beach, and Cardiff, but the scenery is less salient.",0,14.0,16.0,31.0,42.0,83.3,27.61,-55.69
8,data_science,17:45,5:45 PM,tired,"You feel tired from the workday, but you are still patient enough to make a normal route choice.",cloudy,"It is cloudy with muted evening light. The coastal route still goes through Del Mar, Solana Beach, and Cardiff, but the scenery is less salient.",0,14.0,16.0,29.0,40.0,32.09,69.63,37.54
9,data_science,17:45,5:45 PM,mentally_worn_down,"You feel mentally worn down after meetings and would prefer a route that feels less stressful, all else equal.",sunny,"It is sunny with clear evening light. The coastal route is likely to have better views, especially through Del Mar, Solana Beach, and Cardiff.",1,14.0,16.0,29.0,40.0,36.2,15.86,-20.34
10,data_science,17:15,5:15 PM,refreshed,You feel alert and have enough energy to handle either freeway driving or local coastal driving.,cloudy,"It is cloudy with muted evening light. The coastal route still goes through Del Mar, Solana Beach, and Cardiff, but the scenery is less salient.",0,14.0,16.0,31.0,42.0,24.98,15.27,-9.71
11,data_science,17:15,5:15 PM,refreshed,You feel alert and have enough energy to handle either freeway driving or local coastal driving.,cloudy,"It is cloudy with muted evening light. The coastal route still goes through Del Mar, Solana Beach, and Cardiff, but the scenery is less salient.",0,14.0,16.0,31.0,42.0,33.6,119.17,85.57
12,data_science,17:45,5:45 PM,tired,"You feel tired from the workday, but you are still patient enough to make a normal route choice.",cloudy,"It is cloudy with muted evening light. The coastal route still goes through Del Mar, Solana Beach, and Cardiff, but the scenery is less salient.",0,14.0,16.0,29.0,40.0,17.39,37.04,19.65
13,data_science,17:45,5:45 PM,mentally_worn_down,"You feel mentally worn down after meetings and would prefer a route that feels less stressful, all else equal.",sunny,"It is sunny with clear evening light. The coastal route is likely to have better views, especially through Del Mar, Solana Beach, and Cardiff.",1,14.0,16.0,29.0,40.0,21.99,36.91,14.92
14,data_science,17:15,5:15 PM,overwhelmed,You feel overwhelmed and want the drive home to require as little attention and decision-making as possible.,sunny,"It is sunny with clear evening light. The coastal route is likely to have better views, especially through Del Mar, Solana Beach, and Cardiff.",1,14.0,16.0,31.0,42.0,33.63,70.89,37.26
15,data_science,17:00,5:00 PM,mentally_worn_down,"You feel mentally worn down after meetings and would prefer a route that feels less stressful, all else equal.",cloudy,"It is cloudy with muted evening light. The coastal route still goes through Del Mar, Solana Beach, and Cardiff, but the scenery is less salient.",0,14.0,16.0,31.0,42.0,39.35,38.11,-1.24
16,data_science,17:30,5:30 PM,mentally_worn_down,"You feel mentally worn down after meetings and would prefer a route that feels less stressful, all else equal.",cloudy,"It is cloudy with muted evening light. The coastal route still goes through Del Mar, Solana Beach, and Cardiff, but the scenery is less salient.",0,14.0,16.0,31.0,41.0,21.39,39.48,18.09
17,data_science,17:45,5:45 PM,overwhelmed,You feel overwhelmed and want the drive home to require as little attention and decision-making as possible.,cloudy,"It is cloudy with muted evening light. The coastal route still goes through Del Mar, Solana Beach, and Cardiff, but the scenery is less salient.",0,14.0,16.0,29.0,40.0,54.24,36.21,-18.03
